"filename", "language", "YAML", "C++", "Properties", "Gradle", "XML", "Dart", "CMake", "JSON", "Swift", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 7, 17
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\android\app\build.gradle", "Gradle", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 5, 13, 73
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 6, 1, 40
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\android\build.gradle", "Gradle", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\android\gradle.properties", "Properties", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\android\settings.gradle", "Gradle", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\ArrowLeft.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\Bell.svg", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\BellSimpleSlash.svg", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\CaretCircleRight.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\CaretRight.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\CheckCircle.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\CheckCircleBlue.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\Clock.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\Drop.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\Ellipse 1.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\Ellipse_28.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\Fire.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
